time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5050.255552	139.262604	1.085847	-0.032075	177
5052.297153	139.319016	1.086698	-0.032381	179
5054.338684	139.358200	1.086068	-0.032485	181
5056.379850	139.374130	1.085657	-0.032294	183
5058.421174	139.351471	1.086260	-0.032403	185
5060.462345	139.349350	1.086409	-0.032061	187
5062.503513	139.304825	1.086239	-0.032075	189
5064.544705	139.312134	1.086164	-0.032189	191
5066.586385	139.277451	1.086931	-0.032031	193
5068.628361	139.303009	1.086608	-0.031567	195
5070.670227	139.301056	1.086655	-0.031267	197
5072.711920	139.318283	1.086342	-0.031206	199
5074.754490	139.379959	1.087658	-0.031155	201
5076.797087	139.431015	1.089035	-0.030462	203
5078.839763	139.411606	1.086855	-0.030838	205
5080.882370	139.500793	1.086417	-0.031202	207
5082.925036	139.462875	1.088892	-0.030724	209
5084.966264	139.407486	1.089671	-0.031865	211
5087.008438	139.384766	1.088563	-0.032230	213
5089.050142	139.313980	1.089175	-0.031984	215
5091.091907	139.258255	1.088979	-0.032249	217
5093.133818	139.189377	1.088940	-0.032345	219
5095.175622	139.182983	1.087793	-0.033179	221
5097.216971	139.143982	1.087736	-0.033352	223
5099.259123	139.061661	1.088520	-0.033684	225
5101.300985	139.065964	1.088051	-0.033370	227
5103.342859	139.020462	1.088574	-0.033171	229
5105.385102	139.043106	1.089247	-0.033153	231
5107.426984	139.030685	1.088736	-0.033533	233
5109.468734	139.056107	1.089459	-0.033273	235
5111.510360	138.955521	1.089354	-0.033241	237
5113.551814	138.957993	1.089158	-0.033309	239
5115.593147	138.948959	1.089061	-0.034028	241
5117.634140	138.927322	1.089075	-0.033465	243
5119.675494	138.965195	1.089632	-0.033427	245
5121.716599	138.921600	1.090523	-0.032647	247
5123.758033	138.931595	1.091026	-0.032003	249
5125.799262	138.968338	1.090901	-0.031979	251
5127.840585	138.973663	1.091321	-0.032082	253
5129.882482	138.990738	1.092555	-0.032466	255
5131.925010	139.034286	1.092880	-0.032504	1
5133.967236	139.052109	1.092744	-0.032310	3
5136.009348	139.129822	1.093793	-0.032574	5
5138.052494	139.104996	1.092978	-0.031225	7
5140.094960	139.041534	1.091924	-0.031044	9
5142.137328	139.020844	1.090083	-0.031525	11
5144.179765	139.104385	1.092039	-0.032672	13
5146.221270	138.987030	1.091457	-0.031935	15
5148.262773	138.990768	1.093663	-0.030107	17
5150.305076	138.899139	1.092741	-0.029151	19
5152.347356	138.795334	1.093186	-0.029297	21
5154.388975	138.760529	1.093675	-0.029631	23
5156.430493	138.757660	1.093820	-0.030196	25
5158.472286	138.691788	1.092497	-0.030281	27
5160.514490	138.708908	1.093446	-0.030579	29
5162.555965	138.733170	1.092996	-0.030745	31
5164.598183	138.621796	1.093922	-0.030769	33
5166.639662	138.718079	1.094617	-0.030933	35
5168.681769	138.632492	1.093211	-0.029492	37
5170.723451	138.603760	1.093676	-0.029062	39
5172.764721	138.630020	1.093333	-0.028996	41
5174.805740	138.680801	1.093559	-0.028804	43
5176.846990	138.599960	1.094166	-0.027608	45
5178.888074	138.638184	1.094279	-0.028237	47
5180.929547	138.616745	1.094677	-0.028476	49
5182.970934	138.614639	1.094921	-0.028847	51
5185.013188	138.669098	1.094776	-0.029223	53
5187.054335	138.680008	1.095056	-0.028188	55
5189.096408	138.671555	1.093993	-0.028035	57
5191.138798	138.708572	1.092835	-0.028081	59
5193.180960	138.691742	1.090996	-0.028042	61
5195.223679	138.691666	1.090948	-0.029530	63
5197.265758	138.793137	1.092351	-0.030007	65
5199.307584	138.745987	1.091792	-0.029674	67
5201.350081	138.665924	1.091463	-0.029763	69
5203.392420	138.700073	1.091116	-0.029908	71
5205.434394	138.634293	1.091515	-0.030112	73
5207.476232	138.713623	1.092012	-0.030514	75
5209.518368	138.557602	1.092232	-0.029089	77
5211.560016	138.516617	1.091053	-0.029543	79
5213.601769	138.627670	1.090691	-0.029423	81
5215.643627	138.626999	1.090243	-0.029556	83
5217.685344	138.525391	1.090555	-0.028859	85
5219.727341	138.490417	1.091205	-0.028982	87
5221.769370	138.461823	1.090762	-0.029380	89
5223.810775	138.449966	1.091860	-0.029140	91
5225.852714	138.432617	1.092530	-0.028729	93
5227.894413	138.490051	1.093269	-0.028531	95
5229.935749	138.481995	1.094872	-0.028589	97
5231.977286	138.598633	1.095424	-0.027740	99
5234.018375	138.615005	1.094667	-0.026254	101
5236.059993	138.559219	1.094501	-0.026229	103
5238.101080	138.661469	1.096345	-0.026036	105
5240.142775	138.547623	1.096549	-0.024770	107
5242.184684	138.606430	1.096742	-0.025871	109
5244.226166	138.708923	1.097403	-0.025917	111
5246.268045	138.788818	1.098154	-0.024367	113
5248.310405	138.698975	1.098786	-0.023635	115
5250.352483	138.670807	1.098347	-0.023616	117
5252.394588	138.696152	1.098709	-0.023895	119
5254.437273	138.753510	1.098431	-0.024151	121
5256.479117	138.715149	1.098584	-0.024044	123
5258.521549	138.753342	1.097814	-0.024081	125
5260.563578	138.636108	1.097828	-0.023812	127
5262.605366	138.579163	1.097605	-0.023974	129
5264.647461	138.424911	1.097372	-0.024219	131
5266.689155	138.449890	1.097717	-0.024264	133
5268.731147	138.357208	1.097262	-0.024168	135
5270.773162	138.335831	1.098146	-0.024446	137
5272.814677	138.344452	1.099842	-0.024399	139
5274.856476	138.216827	1.099711	-0.024046	141
5276.899027	138.275436	1.099079	-0.024070	143
5278.940902	138.333115	1.099489	-0.024181	145
5280.982439	138.390610	1.099178	-0.022970	147
5283.024518	138.215500	1.097803	-0.021322	149
5285.065770	138.259506	1.097000	-0.021797	151
